sn2004s,0.01,0,14.183,0.042,0.973,0.026,0.035,0.025,12.07,53039.56,0.6,BVR,1
sn1999ac,0.01,0,14.13,0.03,0.987,0.009,0.056,0.018,9.92,51249.82,0.07,BVR,2
sn1997do,0.011,0,14.317,0.036,0.983,0.023,0.056,0.025,12.07,50765.81,0.14,BVR,2
sn2006bh,0.011,0.001,14.347,0.021,0.814,0.008,-0.045,0.019,10.91,53833.01,0.06,BgVr,3
sn2002dp,0.011,0,14.597,0.03,0.973,0.029,0.113,0.024,10.47,52450.45,0.2,BVR,4
sn2005al,0.012,0.001,14.843,0.026,0.871,0.013,-0.073,0.02,12.07,53429.38,0.27,BgVr,3
sn2001ep,0.013,0,14.904,0.025,0.903,0.024,0.088,0.02,10.29,52199.71,0.12,BVR,4
sn1997e,0.014,0,15.118,0.041,0.819,0.017,0.036,0.022,11.19,50467.43,0.14,BVR,2
sn2001fe,0.015,0,14.685,0.024,1.077,0.028,-0.002,0.022,10.19,52228.3,0.38,BVR,4
sn2005bo,0.014,0.001,15.646,0.025,0.867,0.021,0.236,0.02,12.07,53478.56,0.29,BgVr,3
sn2002ha,0.014,0,14.703,0.038,0.867,0.02,-0.056,0.024,11.11,52580.56,0.19,BVR,4
sn2006n,0.015,0,15.09,0.037,0.787,0.018,-0.023,0.021,10.81,53760.2,0.34,BVr,4
sn1999dq,0.014,0,14.409,0.037,1.103,0.007,0.075,0.019,10.69,51435.55,0.06,BVR,2
sn1999aa,0.016,0,14.728,0.022,1.12,0.007,-0.052,0.018,10.7,51231.9,0.06,BVR,"2, 5, 6"
sn1992al,0.014,0,14.499,0.026,0.959,0.018,-0.087,0.023,12.07,48837.58,0.16,BVR,7
sn2001bt,0.014,0,15.317,0.029,0.899,0.01,0.18,0.022,12.07,52063.44,0.09,BVR,8
sn2005el,0.015,0,14.842,0.039,0.838,0.01,-0.08,0.021,12.07,53646.11,0.07,BVr,4
sn1999dk,0.014,0,14.881,0.028,0.991,0.023,0.086,0.027,10.16,51414.39,0.28,BV,"5, 9"
sn2001v,0.016,0,14.596,0.024,1.111,0.012,0.025,0.02,10.84,51973.2,0.08,BVR,4
sn2005kc,0.015,0,15.502,0.043,0.933,0.008,0.176,0.021,10.93,53697.16,0.07,BgVr,3
sn1994s,0.015,0,14.801,0.029,1.031,0.033,-0.037,0.026,10.45,49517.38,0.31,BVR,10
sn2001cz,0.016,0,15.083,0.034,1.007,0.015,0.071,0.021,12.07,52103.2,0.13,BVR,8
sn2001cn,0.015,0.001,15.306,0.031,0.933,0.02,0.145,0.02,12.07,52071.7,0.48,BVR,8
sn2001bf,0.015,0,14.719,0.039,1.1,0.034,0,0.022,12.07,52045.01,0.65,BVR,4
sn2004eo,0.015,0,15.104,0.036,0.88,0.005,0.058,0.019,10.98,53277.95,0.04,BVR,11
sn2004ey,0.016,0.001,14.676,0.052,1.001,0.009,-0.107,0.02,9.95,53303.76,0.05,BgVr,3
sn2001en,0.015,0,15.095,0.077,0.877,0.087,0.038,0.025,10.66,52192.9,2.5,BVR,4
sn2006td,0.016,0,15.735,0.035,0.841,0.03,0.123,0.023,12.07,54098.75,0.4,BVr,4
sn1996bv,0.017,0,15.353,0.048,1.064,0.04,0.162,0.026,12.07,50403.34,0.77,BVR,10
sn2006ax,0.017,0,14.984,0.027,1.001,0.008,-0.091,0.019,8.93,53826.61,0.05,BgVr,3
sn2001da,0.017,0,15.464,0.069,0.778,0.183,0.078,0.04,10.46,52107.37,3.47,BVR,4
sn2000dk,0.018,0,15.361,0.029,0.768,0.014,-0.001,0.021,12.07,51811.98,0.08,BVR,2
sn1998v,0.017,0,15.105,0.062,0.983,0.035,0.004,0.026,11,50890.49,0.65,BVR,2
sn1998ef,0.018,0,14.832,0.035,0.892,0.025,-0.068,0.023,12.07,51113.18,0.22,BVR,2
sn2007ci,0.019,0,15.909,0.029,0.729,0.014,0.066,0.025,11.12,54246.16,0.05,BVr,4
sn1992bo,0.019,0,15.79,0.027,0.771,0.011,-0.03,0.024,12.07,48985.35,0.07,BVR,7
sn2002kf,0.02,0,15.664,0.045,0.862,0.034,-0.032,0.023,12.07,52638.99,0.74,BVR,4
sn2005ki,0.02,0,15.536,0.023,0.844,0.007,-0.067,0.021,11.18,53704.64,0.08,BgVr,3
sn2003w,0.021,0,15.89,0.024,0.993,0.014,0.134,0.02,10.62,52679.83,0.09,BVR,4
sn1992bc,0.021,0,15.145,0.022,1.081,0.011,-0.086,0.02,12.07,48911.79,0.07,BVR,7
sn2006ej,0.02,0,15.779,0.033,0.853,0.026,0.026,0.025,12.07,53975.99,0.71,BVr,4
sn2007bc,0.022,0,15.912,0.025,0.852,0.022,0.011,0.024,10.81,54199.73,0.24,BVr,4
sn2002jy,0.022,0.001,15.758,0.03,1.109,0.028,-0.008,0.022,10.59,52633.26,0.53,BVR,4
sn2008bf,0.022,0,15.739,0.023,1.034,0.015,0.013,0.02,11.21,54554.19,0.13,BVr,4
sn2006bq,0.022,0,16.191,0.033,0.848,0.018,0.079,0.02,10.84,53846.57,0.47,BVr,4
sn2006et,0.022,0,16.003,0.03,1.11,0.039,0.166,0.026,12.07,53993.25,0.5,BVr,4
sn2006cp,0.023,0,16.015,0.031,1.052,0.015,0.099,0.022,10.1,53897.12,0.15,BVr,4
sn2006ar,0.023,0,16.486,0.026,0.903,0.029,0.128,0.023,9.85,53813.22,0.18,BVr,4
sn1995ak,0.022,0,15.982,0.072,0.85,0.049,0.011,0.037,12.07,50021.2,1.72,BV,10
sn2006mp,0.023,0.002,16.009,0.024,1.092,0.022,0.036,0.022,12.07,54053.46,0.13,BVr,4
sn2005bg,0.025,0.001,15.833,0.026,1.044,0.019,-0.003,0.02,10.16,53468.65,0.37,BgVr,3
sn2006ac,0.023,0,16.193,0.022,0.895,0.012,0.08,0.02,10.87,53781.25,0.11,BVr,4
sn1994m,0.025,0,16.278,0.039,0.83,0.024,0.043,0.025,11.04,49474.04,0.68,BVR,"5, 10"
sn2000cn,0.024,0,16.554,0.029,0.755,0.018,0.115,0.022,12.07,51706.81,0.06,BVR,2
sn2007f,0.024,0,15.914,0.037,1.059,0.01,-0.02,0.02,10.03,54123.22,0.07,BVr,4
sn2000ca,0.023,0,15.606,0.029,1.062,0.024,-0.073,0.021,12.07,51665.05,0.28,BVR,12
sn2007qe,0.024,0.001,16.074,0.023,1.059,0.008,0.067,0.02,12.07,54428.9,0.06,BVr,4
sn2006sr,0.024,0,16.157,0.034,0.852,0.019,0.011,0.022,10.59,54092.26,0.2,BVr,4
sn1993h,0.024,0,16.766,0.033,0.726,0.015,0.179,0.025,12.07,49068.98,0.29,BVR,"5, 7"
sn2002bf,0.025,0,16.358,0.051,0.936,0.03,0.169,0.031,10.6,52337.72,0.37,BVR,13
sn2002he,0.025,0,16.271,0.043,0.82,0.022,-0.012,0.029,12.07,52585.62,0.1,BVR,4
sn1992ag,0.025,0.002,16.355,0.041,0.95,0.033,0.18,0.037,12.07,48805.3,0.61,BV,7
sn2005ms,0.027,0,16.18,0.024,1.045,0.016,-0.01,0.021,10.41,53743.32,0.11,BVr,4
sn1992p,0.028,0,16.097,0.032,1.079,0.084,-0.063,0.035,10.39,48717.02,1.37,BV,7
sn2007cq,0.025,0,15.85,0.038,0.938,0.018,0.003,0.022,12.07,54280.39,0.09,BVr,4
sn2005na,0.027,0,15.934,0.03,0.95,0.012,-0.078,0.021,12.07,53739.9,0.18,BgVr,3
sn2004gs,0.027,0.001,17.146,0.022,0.768,0.009,0.167,0.021,11.08,53355.87,0.08,BgVr,3
sn1999gp,0.027,0,16.044,0.026,1.182,0.014,0.029,0.026,12.07,51549.65,0.11,BV,"2, 9"
sn2007co,0.027,0,16.491,0.037,0.964,0.01,0.098,0.019,12.07,54264.51,0.08,BVr,4
sn1998ab,0.028,0,16.089,0.03,0.982,0.019,0.066,0.025,10.79,50913.56,0.1,BVR,2
sn2002de,0.028,0,16.699,0.024,1.062,0.057,0.139,0.022,10.81,52433.23,0.17,BVR,4
sn2003u,0.029,0.001,16.521,0.039,0.791,0.036,0.003,0.032,10.66,52676.78,0.12,BVR,4
sn2005eq,0.029,0,16.322,0.03,1.159,0.014,0.026,0.02,10.55,53653.52,0.13,BVr,4
sn2001ba,0.03,0,16.244,0.029,1.008,0.016,-0.095,0.031,12.07,52033.46,0.21,BV,12
sn1996c,0.031,0,16.654,0.034,1.073,0.029,0.087,0.025,10.31,50127.93,0.82,BVR,10
sn2006qo,0.03,0,16.865,0.026,1.048,0.012,0.192,0.022,12.07,54082.26,0.1,BVr,4
sn2003ch,0.03,0.001,16.725,0.031,0.842,0.026,-0.001,0.023,12.07,52725.86,0.41,BVR,4
sn1990o,0.03,0,16.267,0.042,1.047,0.037,-0.018,0.03,12.07,48075.45,0.65,BVR,7
sn1997dg,0.031,0,16.84,0.034,0.941,0.037,-0.024,0.024,12.07,50719.58,0.52,BVR,2
sn2006az,0.031,0,16.517,0.02,0.858,0.009,-0.064,0.019,11.31,53826.21,0.09,BVr,4
sn2004as,0.033,0,17.011,0.025,1.049,0.031,0.077,0.024,9.35,53085.39,0.19,BVR,4
sn2007bd,0.032,0,16.614,0.024,0.844,0.014,-0.021,0.022,10.74,54205.91,0.11,BVr,4
sn1999cc,0.032,0,16.783,0.02,0.812,0.015,0.015,0.019,11.04,51314.99,0.15,BVR,"2, 14"
sn2006s,0.033,0,16.898,0.02,1.112,0.013,0.074,0.019,10.45,53769.27,0.13,BVr,4
sn2006bt,0.031,0,16.971,0.023,1.011,0.019,0.13,0.019,11.38,53857.69,0.16,BVr,4
sn2004l,0.033,0,17.385,0.047,0.925,0.037,0.192,0.03,10.45,53028.99,0.98,BVR,4
sn2005iq,0.034,0,16.76,0.02,0.878,0.009,-0.085,0.021,12.07,53687.16,0.06,BgVr,3
sn2003iv,0.035,0,17.03,0.047,0.741,0.055,-0.04,0.028,12.07,52934.43,0.45,BVR,4
sn2006gr,0.034,0,17.009,0.031,1.103,0.013,0.1,0.02,12.07,54012.6,0.08,BVr,4
sn2005eu,0.035,0,16.521,0.049,1.101,0.014,-0.027,0.03,12.07,53659.71,0.12,BVr,4
sn2002hd,0.036,0,16.867,0.057,0.858,0.176,0.081,0.024,12.07,52576.96,2.41,BVR,4
sn1992bg,0.035,0,16.749,0.077,0.956,0.043,-0.037,0.041,12.07,48914.3,1.2,BV,7
sn1996bl,0.035,0,16.677,0.039,0.979,0.022,0.006,0.025,12.07,50375.88,0.23,BVR,10
sn2000cf,0.037,0,17.05,0.031,0.916,0.02,-0.023,0.022,12.07,51672.33,0.54,BVR,"2, 14"
sn2006mo,0.037,0,17.486,0.037,0.759,0.022,0.065,0.028,10.93,54047.63,0.35,BVr,4
sn2001eh,0.037,0,16.667,0.029,1.185,0.027,-0.004,0.022,12.07,52168.53,0.5,BVR,4
sn1999aw,0.039,0.001,16.791,0.024,1.234,0.016,-0.032,0.022,12.07,51253.48,0.15,BVR,15
sn2002hu,0.038,0.001,16.69,0.024,1.045,0.018,-0.058,0.021,12.07,52591.75,0.15,BVR,4
sn2003fa,0.039,0.001,16.763,0.026,1.152,0.015,-0.01,0.021,12.07,52806.51,0.07,BVR,4
sn2001az,0.04,0,16.986,0.047,1.108,0.066,-0.049,0.026,10.66,52030.66,1.04,BVR,4
sn2005lz,0.041,0,17.674,0.035,0.844,0.023,0.093,0.023,12.07,53735.57,0.14,BVr,4
sn1992bl,0.042,0,17.345,0.051,0.815,0.029,-0.035,0.04,12.07,48946.22,0.85,BV,7
sn1992bh,0.042,0,17.649,0.03,0.99,0.029,0.065,0.036,12.07,48919.52,0.6,BV,7
sn2004gu,0.047,0.001,17.439,0.023,1.141,0.013,0.101,0.022,10.23,53361.49,0.17,BgVr,3
